Community,Mode,Time Range,Cost,MI
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",bicycle,20,0.260273973,41349.70465
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",bicycle,30,0.260273973,41349.70465
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",bicycle,40,0.260273973,41349.70465
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",bicycle,50,0.510273973,37782.34017
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",bicycle,60,1.010273973,31544.36128
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",walk,10,0,12462
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",walk,20,0,12462
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",walk,30,0,12462
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",walk,40,0,12462
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",walk,50,0,12462
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",walk,60,0,12462
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",transit,10,2,18418.84565
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",transit,20,2,18418.84565
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",transit,30,2,18418.84565
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",transit,40,2,18418.84565
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",transit,50,2,18418.84565
"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",transit,60,2,18418.84565
"Dupont Circle, Connecticut Avenue K Street",drive,10,2.09375,24209.92631
"Dupont Circle, Connecticut Avenue K Street",drive,20,4.1875,11400.4616
"Dupont Circle, Connecticut Avenue K Street",drive,30,6.28125,5368.480806
"Dupont Circle, Connecticut Avenue K Street",drive,40,8.375,2528.019231
"Dupont Circle, Connecticut Avenue K Street",drive,50,10.46875,1190.445018
"Dupont Circle, Connecticut Avenue K Street",drive,60,12.5625,560.5809181
"Dupont Circle, Connecticut Avenue K Street",bicycle,10,0.260273973,42144.85349
"Dupont Circle, Connecticut Avenue K Street",bicycle,20,0.260273973,42144.85349
"Dupont Circle, Connecticut Avenue K Street",bicycle,30,0.260273973,42144.85349
"Dupont Circle, Connecticut Avenue K Street",bicycle,40,0.260273973,42144.85349
"Dupont Circle, Connecticut Avenue K Street",bicycle,50,0.510273973,38520.44458
"Dupont Circle, Connecticut Avenue K Street",bicycle,60,1.010273973,32179.90635
"Dupont Circle, Connecticut Avenue K Street",walk,10,0,12697
"Dupont Circle, Connecticut Avenue K Street",walk,20,0,12697
"Dupont Circle, Connecticut Avenue K Street",walk,30,0,12697
"Dupont Circle, Connecticut Avenue K Street",walk,40,0,12697
"Dupont Circle, Connecticut Avenue K Street",walk,50,0,12697
"Dupont Circle, Connecticut Avenue K Street",walk,60,0,12697
"Dupont Circle, Connecticut Avenue K Street",transit,10,2,15051.8068
"Dupont Circle, Connecticut Avenue K Street",transit,20,2,15051.8068
"Dupont Circle, Connecticut Avenue K Street",transit,30,2,15051.8068
"Dupont Circle, Connecticut Avenue K Street",transit,40,2,15051.8068
"Dupont Circle, Connecticut Avenue K Street",transit,50,2,15051.8068
"Dupont Circle, Connecticut Avenue K Street",transit,60,2,15051.8068
"Eastland Gardens, Kenilworth",drive,10,2.09375,36957.89651
"Eastland Gardens, Kenilworth",drive,20,4.1875,33211.42107
"Eastland Gardens, Kenilworth",drive,30,6.28125,29844.73127
"Eastland Gardens, Kenilworth",drive,40,8.375,26819.32768
"Eastland Gardens, Kenilworth",drive,50,10.46875,24100.61364
"Eastland Gardens, Kenilworth",drive,60,12.5625,21657.49956
"Eastland Gardens, Kenilworth",bicycle,10,0.260273973,21095.83068
"Eastland Gardens, Kenilworth",bicycle,20,0.260273973,21095.83068
"Eastland Gardens, Kenilworth",bicycle,30,0.260273973,21095.83068
"Eastland Gardens, Kenilworth",bicycle,40,0.260273973,21095.83068
"Eastland Gardens, Kenilworth",bicycle,50,0.510273973,20828.30699
"Eastland Gardens, Kenilworth",bicycle,60,1.010273973,20303.39426
"Eastland Gardens, Kenilworth",walk,10,0,852
"Eastland Gardens, Kenilworth",walk,20,0,852
"Eastland Gardens, Kenilworth",walk,30,0,852
"Eastland Gardens, Kenilworth",walk,40,0,852
"Eastland Gardens, Kenilworth",walk,50,0,852
"Eastland Gardens, Kenilworth",walk,60,0,852
"Eastland Gardens, Kenilworth",transit,10,2,8525.55593
"Eastland Gardens, Kenilworth",transit,20,2,8525.55593
"Eastland Gardens, Kenilworth",transit,30,2,8525.55593
"Eastland Gardens, Kenilworth",transit,40,2,8525.55593
"Eastland Gardens, Kenilworth",transit,50,2,8525.55593
