time.drive,time.bicycle,time.walk,time.transit,weighted.gini,MEM
30,10,40,30,0.352117568,0.647882432
30,10,40,40,0.32998767,0.67001233
30,10,40,50,0.311593778,0.688406222
30,10,40,60,0.293396144,0.706603856
30,10,50,10,0.312737296,0.687262704
30,10,50,20,0.328586071,0.671413929
30,10,50,30,0.343058643,0.656941357
30,10,50,40,0.320543652,0.679456348
30,10,50,50,0.298742549,0.701257451
30,10,50,60,0.281901286,0.718098714
30,10,60,10,0.293898086,0.706101914
30,10,60,20,0.30800915,0.69199085
30,10,60,30,0.322211144,0.677788856
30,10,60,40,0.307071651,0.692928349
30,10,60,50,0.288287255,0.711712745
30,10,60,60,0.271473618,0.728526382
30,20,10,10,0.251678575,0.748321425
30,20,10,20,0.269210367,0.730789633
30,20,10,30,0.289640383,0.710359617
30,20,10,40,0.281901545,0.718098455
30,20,10,50,0.268057779,0.731942221
30,20,10,60,0.256149718,0.743850282
30,20,20,10,0.254278287,0.745721713
30,20,20,20,0.270810725,0.729189275
30,20,20,30,0.290093345,0.709906655
30,20,20,40,0.28250094,0.71749906
30,20,20,50,0.268460646,0.731539354
30,20,20,60,0.256490016,0.743509984
30,20,30,10,0.2596515,0.7403485
30,20,30,20,0.274242067,0.725757933
30,20,30,30,0.291612904,0.708387096
30,20,30,40,0.283892236,0.716107764
30,20,30,50,0.269530251,0.730469749
30,20,30,60,0.257365153,0.742634847
30,20,40,10,0.259543468,0.740456532
30,20,40,20,0.271850119,0.728149881
30,20,40,30,0.286854026,0.713145974
30,20,40,40,0.279992251,0.720007749
30,20,40,50,0.266443583,0.733556417
30,20,40,60,0.254151049,0.745848951
30,20,50,10,0.266466582,0.733533418
30,20,50,20,0.277259421,0.722740579
30,20,50,30,0.289092224,0.710907776
30,20,50,40,0.281519198,0.718480802
30,20,50,50,0.268790426,0.731209574
30,20,50,60,0.25567034,0.74432966
30,20,60,10,0.262599281,0.737400719
30,20,60,20,0.272176947,0.727823053
30,20,60,30,0.283111677,0.716888323
30,20,60,40,0.27605522,0.72394478
30,20,60,50,0.265021492,0.734978508
